MR,Reference,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem,DÚVIDAS/obs
bad kids friendly atmosphere,Near Express by Holiday Inn there is a restaurant called The Cricketers. It is not family-friendly and has a low customer rating.,The Cricketers is a low rated restaurant near Express by Holiday Inn. It is not family-friendly.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",There is an expensive-priced pub located close to Crowne Plaza Hotel called The Phoenix.,The Phoenix is a French pub near the Crown Plaza Hotel in the riverside area. It has a low customer rating and is child friendly.,n,n,n,s,n,n,n,Erro family x child friendly?
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]",Near Express by Holiday Inn there is a restaurant called The Cricketers. It is not family-friendly and has a low customer rating.,The Cricketers is a restaurant located near Express by Holiday Inn. It is not family - friendly and has a low customer rating.,n,n,n,n,n,n,n,
"name[The Wrestlers], eatType[restaurant], food[Japanese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","Situated close to Raja Indian Cuisine is The Wrestlers, a Japanese style restaurant that serves dishes for under twenty pound.",The Wrestlers is a family friendly Japanese restaurant in the riverside area near Raja Indian Cuisine with a price range of less than £20.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The customer rating is bad at the children friendly restaurant called The Cricketers near Avalon.,The Cricketers is a kid friendly restaurant near Avalon. It has a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]","The Cricketers is an average rated coffee shop close to Café Sicilia, not for children",The Cricketers is a coffee shop located near Café Sicilia. It has an average customer rating and is not family-friendly.,n,n,n,n,n,n,n,
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man in the riverside area near the Express by Holiday Inn is an Italian restaurant which is child friendly.,Green Man in the riverside area near the Express by Holiday Inn is an Italian restaurant which is child friendly.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a kid-friendly coffee shop with a customer rating of 3 out of 5. It is located near Avalon.,The Cricketers is a coffee shop near Avalon. It is kid friendly and has a customer rating of 3 out of 5.,n,n,n,n,n,n,n,
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a moderately priced kid friendly Chinese pub in they city centre near Raja Indian Cuisine.,The Punter is a pub that serves Chinese food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is kid friendly.,n,n,n,n,n,n,n,
"name[The Waterman], eatType[restaurant], food[Indian], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Waterman is a kid friendly restaurant in the riverside area near Raja Indian Cuisine. They offer Indian food at a moderate price range.,The Waterman is a moderately priced Indian restaurant in the riverside area near Raja Indian Cuisine. It is kid friendly.,n,n,n,s,n,n,n,falto uma intenção de fala aí: tipo de comida?
"name[The Vaults], eatType[pub], food[Japanese], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Vaults is a kid friendly pub serving Japanese food located in the city center near Rainbow Vegetarian Café. Prices range from £20-25 and the customer rating is 3 out of 5.,The Vaults is a Japanese pub located in the city centre near Rainbow Vegetarian Café. It is kid friendly and has a customer rating of 3 out of 5.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","In the city centre near Crowne Plaza Hotel, there is a cheap pub called The Phoenix. It is family-friendly and has a customer rating of three out of five.",The Phoenix is a family friendly pub located near Crowne Plaza Hotel in the riverside area. It serves French food for less than £20 and has an average customer rating.,n,n,n,n,n,n,n,
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]","The customer rated 1 out of 5, Strada is near Rainbow Vegetarian Café.",Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[coffee shop], area[city centre]",A coffee shop in the city centre area called Blue Spice.,A coffee shop in the city centre area called Blue Spice.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[pub], food[Indian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",Located near the city centre and Raja Indian Cuisine the Wildwood is a family friendly Indian pub.,Located near the city centre and Raja Indian Cuisine the Wildwood is a family friendly Indian pub.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Blue Spice is a pub that serves English cuisine. It is a kid friendly pub located on the riverside near the Rainbow Vegetarian Café.,The Blue Spice is a pub that serves English cuisine. It is a kid friendly pub located on the riverside near the Rainbow Vegetarian Café.,n,n,n,n,n,n,n,
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]","Cocum, a coffee shop with a low customer rating, is near Café Sicilia.",Cocum is a coffee shop near Café Sicilia with a low customer rating.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]",A children friendly restaurant near Café Sicilia with an average customer rating is named The Cricketers.,The Cricketers is a family friendly restaurant near Café Sicilia. It has an average customer rating.,n,n,n,s,n,n,n,a troca de child x family constaria como erro de contexto?
"name[Zizzi], eatType[pub], customer rating[average], near[Burger King]","Close by Burger King, is Zizzi. An average rated pub.",The Zizzi pub is located near the Burger King. It has an average customer rating.,n,n,n,n,n,n,n,
"name[Clowns], eatType[pub], near[The Sorrento]",Close to The Sorrento you can find Clowns pub.,Clowns pub near The Portland Arms,n,s,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]","The Cricketers restaurant Chinese food is moderately price, but customer ratings show 1 out of 5, located in city centre it is a kid friendly restaurant and is located near All Bar One.",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It is kid friendly and has a moderate price range.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]","An average rating, The Cricketers, which is near the Crowne Plaza Hotel is not a family-friendly restaurant.",The Cricketers is a restaurant near Crowne Plaza Hotel. It is not family-friendly and has an average customer rating.,n,n,n,n,n,n,n,
