MR;Reference;Hypothesis;Incorrect Number;Incorrect Named Entity;Incorrect Word;Context Error;Not checkable;Other;Fluency
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn];Near Express by Holiday Inn there is a restaurant called The Cricketers. It is not family-friendly and has a low customer rating.;The Cricketers is a low rated restaurant near Express by Holiday Inn. It is not family-friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel];There is an expensive-priced pub located close to Crowne Plaza Hotel called The Phoenix.;The Phoenix is a French pub near the Crown Plaza Hotel in the riverside area. It has a low customer rating and is child friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn];Near Express by Holiday Inn there is a restaurant called The Cricketers. It is not family-friendly and has a low customer rating.;The Cricketers is a restaurant located near Express by Holiday Inn. It is not family - friendly and has a low customer rating.
name[The Wrestlers], eatType[restaurant], food[Japanese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine];Situated close to Raja Indian Cuisine is The Wrestlers, a Japanese style restaurant that serves dishes for under twenty pound.;The Wrestlers is a family friendly Japanese restaurant in the riverside area near Raja Indian Cuisine with a price range of less than £20.
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon];The customer rating is bad at the children friendly restaurant called The Cricketers near Avalon.;The Cricketers is a kid friendly restaurant near Avalon. It has a customer rating of 1 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia];The Cricketers is an average rated coffee shop close to Café Sicilia, not for children;The Cricketers is a coffee shop located near Café Sicilia. It has an average customer rating and is not family-friendly.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn];Green Man in the riverside area near the Express by Holiday Inn is an Italian restaurant which is child friendly.;Green Man in the riverside area near the Express by Holiday Inn is an Italian restaurant which is child friendly.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon];The Cricketers is a kid-friendly coffee shop with a customer rating of 3 out of 5. It is located near Avalon.;The Cricketers is a coffee shop near Avalon. It is kid friendly and has a customer rating of 3 out of 5.
name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine];The Punter is a moderately priced kid friendly Chinese pub in they city centre near Raja Indian Cuisine.;The Punter is a pub that serves Chinese food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is kid friendly.
name[The Waterman], eatType[restaurant], food[Indian], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine];The Waterman is a kid friendly restaurant in the riverside area near Raja Indian Cuisine.  They offer Indian food at a moderate price range.;The Waterman is a moderately priced Indian restaurant in the riverside area near Raja Indian Cuisine. It is kid friendly.
