,MR,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem
0,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was clear-cutting, which clears the soil of vegetation, responsible for 1,578.87 sq km of deforested area.",,,,,,,
1,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested."," The National Institute for Space Research (INPE) The National Institute for Space Research (INPE) said that the deforestation rate was the highest in the state of Pará, where 685.97 sq km were deforested. <VERB",,,,,,,
2,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]", <VERB> The National Institute for Space,,,,,,,
3,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).", <VERB <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VER <VERB> <VERB> <VERB>,,,,,,,
4,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
5,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected Nature Protected Area in the month was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km were deforested.",,,,,,,
6,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of destruction of the Amazon in the month (346.44 sq km) was clear-cut deforestation, which leaves the soil clear of vegetation.",,,,,,,
7,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of destruction of the Amazon in the month (two hundred and fifty-three point 4 4 sq km) was clear-cutting, which removes all vegetetation of the soil.",,,,,,,
8,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) in Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, ParanThe National Institute for Space Research (INPE) in Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, ParanThe National Institute for",,,,,,,
9,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]", <VERB> <VERB,,,,,,,
