,MR,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem
0,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""2"",city=""PEDRO GOMES"",day=""27"",month=""2"",state=""MATO GROSSO DO SUL"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.",Pesquisas Espaciais(INPE) registrou 2 focos de queimadas no bioma Cerrado.,,,,,,,
1,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 1.659,45 km² foram desmatados na Amazônia Legal, em julho de 2020.","Comparado com o mês anterior, o desmatamento aumentou 59,05 por cento.",,,,,,,
2,"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""3.61"") [SEP] NEW_CASES(cases=""40131"",highest=""False"") [SEP] TOTAL_CASES(cases=""1151479"") [HISTORY] As mortes por #COVID19 no Brasil chegam a 52.771, com 1.364 novos óbitos, representando um aumento diário de 2,65%.","  Os casos de infecção pelo vírus alcançam 1.151.479, uma alta diária de 3,61 por cento, representada por 40.131 novos casos. ",,,,,,,
3,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 322,91 km² foram desmatados na Amazônia Legal, em abril de 2021.","A principal causa dos alertas de desmatamento foi o desmatamento com solo exposto, deixando a terra sem vegetação, somando 312.44 km2 de área desmatada.",,,,,,,
4,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","A Unidade de Conservação que foi mais devastada foi a FLORESTA NACIONAL DO JAMANXIM / Pará (21,75 km2).",,,,,,,
5,"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""3.61"") [SEP] NEW_CASES(cases=""40131"",highest=""False"") [SEP] TOTAL_CASES(cases=""1151479"") [HISTORY] As mortes por #COVID19 no Brasil chegam a 52.771, com 1.364 novos óbitos, representando um aumento diário de 2,65%.","  São registrados ao todo 1.451.579 casos da doença, uma alta diária de 3,61%, representada por 40.301 novos casos. ",,,,,,,
6,"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Amazônia"",cases=""80"",day=""11"",month=""2"",year=""2021"") [HISTORY] CANARANA / MATO GROSSO, na Amazônia, foi a cidade mais atingida, acumulando 12 focos de incêndio no dia.",  A Amazônia teve 80 focos de queimadas e foi o bioma mais atingido. ,,,,,,,
7,"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.67"") [SEP] DEATHS_VARIATION_LAST_DAY(trend=""high"",variation=""1.06"") [HISTORY] Com 3.647 novos óbitos, o país chega a marca de 348.934 mortos.","  O país registra alta diária de 0,67 por cento na quantidade de casos e de 1,06 por cento na quantidade de óbitos por #COVID19. ",,,,,,,
8,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Pantanal"",cases=""6"",city=""POCONÉ"",day=""4"",month=""1"",state=""MATO GROSSO"",year=""2021"") [HISTORY] O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 43 focos de queimadas no território brasileiro.","  POCONÉ / MATO GROSSO, no bioma Pantanal, foi a cidade mais atingida, ac1ulando 6 focos de incêndio no dia. ",,,,,,,
9,"[COVID19] [INTENTS] TOTAL_CASES(cases=""5496402"") [SEP] TOTAL_DEATHS(deaths=""159033"") [HISTORY] [PARAGRAPH]","  São registrados, no total, 159.033 mortes e 5.496.402 casos de #COVID19 no Brasil. ",,,,,,,
10,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""2.69"",city=""Sao Felix do Araguaia"",daily_accumulation=""4"",day=""19"",location=""deter-amz"",month=""8"",state=""MT"",year=""2020"") [HISTORY] [PARAGRAPH]","  No dia 19 de agosto de 2020, o Instituto Nacional de Pesquisas Espaciais (INPE) informou que houve alertas de desmatamento que somam 2,69 km² em Sao Felix do Araguaia / Mato Grosso, acumulando 4 dias com alertas no mês na região. ",,,,,,,
11,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""22"",day=""26"",month=""2"",year=""2021"") [HISTORY] No dia, Mata Atlântica teve 12 focos de queimadas e foi o bioma mais atingido.","Ao todo, no dia 26 de fevereiro de 2 mil e vinte, o INPE registrou 22 focos de queimadas no território brasileiro.",,,,,,,
